distance,threshold
-10000,6.38327e+06
-9981.96,6.35478e+06
-9963.93,6.32638e+06
-9945.89,6.29805e+06
-9927.86,6.26981e+06
-9909.82,6.24164e+06
-9891.78,6.21356e+06
-9873.75,6.18556e+06
-9855.71,6.15764e+06
-9837.68,6.1298e+06
-9819.64,6.10204e+06
-9801.6,6.07436e+06
-9783.57,6.04676e+06
-9765.53,6.01924e+06
-9747.49,5.9918e+06
-9729.46,5.96444e+06
-9711.42,5.93716e+06
-9693.39,5.90996e+06
-9675.35,5.88284e+06
-9657.31,5.8558e+06
-9639.28,5.82884e+06
-9621.24,5.80196e+06
-9603.21,5.77516e+06
-9585.17,5.74844e+06
-9567.13,5.7218e+06
-9549.1,5.69523e+06
-9531.06,5.66875e+06
-9513.03,5.64234e+06
-9494.99,5.61601e+06
-9476.95,5.58976e+06
-9458.92,5.56359e+06
-9440.88,5.5375e+06
-9422.85,5.51148e+06
-9404.81,5.48555e+06
-9386.77,5.45969e+06
-9368.74,5.43391e+06
-9350.7,5.40821e+06
-9332.67,5.38258e+06
-9314.63,5.35703e+06
-9296.59,5.33156e+06
-9278.56,5.30617e+06
-9260.52,5.28086e+06
-9242.48,5.25562e+06
-9224.45,5.23046e+06
-9206.41,5.20537e+06
-9188.38,5.18037e+06
-9170.34,5.15544e+06
-9152.3,5.13058e+06
-9134.27,5.10581e+06
-9116.23,5.08111e+06
-9098.2,5.05648e+06
-9080.16,5.03193e+06
-9062.12,5.00746e+06
-9044.09,4.98307e+06
-9026.05,4.95875e+06
-9008.02,4.9345e+06
-8989.98,4.91033e+06
-8971.94,4.88624e+06
-8953.91,4.86222e+06
-8935.87,4.83828e+06
-8917.84,4.81442e+06
-8899.8,4.79062e+06
-8881.76,4.76691e+06
-8863.73,4.74327e+06
-8845.69,4.7197e+06
-8827.66,4.69621e+06
-8809.62,4.67279e+06
-8791.58,4.64945e+06
-8773.55,4.62618e+06
-8755.51,4.60298e+06
-8737.47,4.57986e+06
-8719.44,4.55682e+06
-8701.4,4.53385e+06
-8683.37,4.51095e+06
-8665.33,4.48813e+06
-8647.29,4.46538e+06
-8629.26,4.4427e+06
-8611.22,4.4201e+06
-8593.19,4.39757e+06
-8575.15,4.37511e+06
-8557.11,4.35273e+06
-8539.08,4.33042e+06
-8521.04,4.30818e+06
-8503.01,4.28602e+06
-8484.97,4.26392e+06
-8466.93,4.24191e+06
-8448.9,4.21996e+06
-8430.86,4.19809e+06
-8412.83,4.17628e+06
-8394.79,4.15455e+06
-8376.75,4.1329e+06
-8358.72,4.11131e+06
-8340.68,4.0898e+06
-8322.65,4.06835e+06
-8304.61,4.04698e+06
-8286.57,4.02569e+06
-8268.54,4.00446e+06
-8250.5,3.9833e+06
-8232.46,3.96222e+06
-8214.43,3.9412e+06
-8196.39,3.92026e+06
-8178.36,3.89939e+06
-8160.32,3.87859e+06
-8142.28,3.85786e+06
-8124.25,3.8372e+06
-8106.21,3.81661e+06
-8088.18,3.79609e+06
-8070.14,3.77564e+06
-8052.1,3.75526e+06
-8034.07,3.73495e+06
-8016.03,3.71471e+06
-7998,3.69455e+06
-7979.96,3.67445e+06
-7961.92,3.65442e+06
-7943.89,3.63446e+06
-7925.85,3.61456e+06
-7907.82,3.59474e+06
-7889.78,3.57499e+06
-7871.74,3.55531e+06
-7853.71,3.53569e+06
-7835.67,3.51615e+06
-7817.64,3.49667e+06
-7799.6,3.47726e+06
-7781.56,3.45792e+06
-7763.53,3.43865e+06
-7745.49,3.41945e+06
-7727.45,3.40031e+06
-7709.42,3.38124e+06
-7691.38,3.36224e+06
-7673.35,3.34331e+06
-7655.31,3.32445e+06
-7637.27,3.30565e+06
-7619.24,3.28693e+06
-7601.2,3.26826e+06
-7583.17,3.24967e+06
-7565.13,3.23114e+06
-7547.09,3.21268e+06
-7529.06,3.19429e+06
-7511.02,3.17596e+06
-7492.99,3.1577e+06
-7474.95,3.13951e+06
-7456.91,3.12139e+06
-7438.88,3.10332e+06
-7420.84,3.08533e+06
-7402.81,3.0674e+06
-7384.77,3.04954e+06
-7366.73,3.03174e+06
-7348.7,3.01401e+06
-7330.66,2.99634e+06
-7312.63,2.97875e+06
-7294.59,2.96121e+06
-7276.55,2.94374e+06
-7258.52,2.92634e+06
-7240.48,2.909e+06
-7222.44,2.89173e+06
-7204.41,2.87452e+06
-7186.37,2.85738e+06
-7168.34,2.8403e+06
-7150.3,2.82329e+06
-7132.26,2.80634e+06
-7114.23,2.78945e+06
-7096.19,2.77263e+06
-7078.16,2.75587e+06
-7060.12,2.73918e+06
-7042.08,2.72255e+06
-7024.05,2.70599e+06
-7006.01,2.68949e+06
-6987.98,2.67305e+06
-6969.94,2.65668e+06
-6951.9,2.64037e+06
-6933.87,2.62412e+06
-6915.83,2.60794e+06
-6897.8,2.59182e+06
-6879.76,2.57576e+06
-6861.72,2.55977e+06
-6843.69,2.54384e+06
-6825.65,2.52797e+06
-6807.62,2.51216e+06
-6789.58,2.49642e+06
-6771.54,2.48074e+06
-6753.51,2.46512e+06
-6735.47,2.44957e+06
-6717.43,2.43407e+06
-6699.4,2.41864e+06
-6681.36,2.40327e+06
-6663.33,2.38796e+06
-6645.29,2.37271e+06
-6627.25,2.35753e+06
-6609.22,2.3424e+06
-6591.18,2.32734e+06
-6573.15,2.31234e+06
-6555.11,2.2974e+06
-6537.07,2.28251e+06
-6519.04,2.2677e+06
-6501,2.25294e+06
-6482.97,2.23824e+06
-6464.93,2.2236e+06
-6446.89,2.20903e+06
-6428.86,2.19451e+06
-6410.82,2.18005e+06
-6392.79,2.16566e+06
-6374.75,2.15132e+06
-6356.71,2.13704e+06
-6338.68,2.12283e+06
-6320.64,2.10867e+06
-6302.61,2.09457e+06
-6284.57,2.08053e+06
-6266.53,2.06655e+06
-6248.5,2.05264e+06
-6230.46,2.03878e+06
-6212.42,2.02497e+06
-6194.39,2.01123e+06
-6176.35,1.99755e+06
-6158.32,1.98392e+06
-6140.28,1.97036e+06
-6122.24,1.95685e+06
-6104.21,1.9434e+06
-6086.17,1.93001e+06
-6068.14,1.91667e+06
-6050.1,1.9034e+06
-6032.06,1.89018e+06
-6014.03,1.87702e+06
-5995.99,1.86392e+06
-5977.96,1.85087e+06
-5959.92,1.83788e+06
-5941.88,1.82495e+06
-5923.85,1.81208e+06
-5905.81,1.79927e+06
-5887.78,1.78651e+06
-5869.74,1.77381e+06
-5851.7,1.76116e+06
-5833.67,1.74857e+06
-5815.63,1.73604e+06
-5797.6,1.72357e+06
-5779.56,1.71115e+06
-5761.52,1.69879e+06
-5743.49,1.68648e+06
-5725.45,1.67423e+06
-5707.41,1.66204e+06
-5689.38,1.6499e+06
-5671.34,1.63782e+06
-5653.31,1.62579e+06
-5635.27,1.61382e+06
-5617.23,1.6019e+06
-5599.2,1.59004e+06
-5581.16,1.57823e+06
-5563.13,1.56648e+06
-5545.09,1.55479e+06
-5527.05,1.54314e+06
-5509.02,1.53156e+06
-5490.98,1.52003e+06
-5472.95,1.50855e+06
-5454.91,1.49713e+06
-5436.87,1.48576e+06
-5418.84,1.47444e+06
-5400.8,1.46318e+06
-5382.77,1.45197e+06
-5364.73,1.44082e+06
